"AGENDA
ITEM",RESOLUTION,FOR,AGAINST
,ORDINARY BUSINESSS,,
4.,"To adopt the audited Financial Statements for the Financial Year ended 31st December 2025,
together with the reports of the Directors and Auditors thereon.",,
5.,"To approve a first and final dividend of Kshs. 1.00 per share, comprising of an ordinary dividend of
Kshs. 0.73 per share and a special dividend of Kes. 0.27 per share in respect of the Financial Year
ended 31st December 2025, to be paid to shareholders on the register as at the close of
business on 21st May 2026.The board approved the proposed dividend.",,
6.,"To approve the Remuneration Report of the Board in respect of the Financial Year ended
31st December 2025 and to authorize the Directors to fix their remuneration.",,
7(a),"To re-elect Ms. Risper Alaro (a Non-Executive Director representing listed companies) in
accordance with Articles 94 and 95.",,
7(b),"To re-elect Mr. Stephen Chege (a Non-Executive Director representing listed companies) in
accordance with Articles 94 and 95.",,
7(c),"To re-elect Mr. Donald Wangunyu (a Non-Executive Director representing trading
participants) in accordance with Articles 94 and 95.",,
8(a),"To appoint Ms. Isis Nyong’o to continue serving as a member of the Board Audit, Risk and
Compliance Committee.",,
8(b),"To appoint Mr. John Niepold to continue serving as a member of the Board Audit, Risk and
Compliance Committee.",,
8(c),"To appoint Ms. Nancy Noreh to serve as a member of the Board Audit, Risk and
Compliance Committee.",,
8(d),"To appoint Mr. Donald Wangunyu to serve as a member of the Board Audit, Risk and
Compliance Committee.",,
8(e),"To appoint Ms. Caroline Kariuki to continue serving as a member of the Board Audit, Risk
and Compliance Committee.",,
9.,"Appointment of PKF Kenya LLP as the Auditor of the Company in accordance with the
provisions of Section 721 of the Companies Act, 2015, and to authorize the Directors to fix
their remuneration for the ensuing Financial Year.",,
