"Cash equities and interest rate market
Sh’000","Derivatives market
Sh’000","Total
Sh’000"
"458,990",,"458,990"
-,,"145,314"
"296,470",,"296,470"
"85,748",,"85,761"
"1,039,135",,"1,047,154"
________,,_________
"1,880,343",,"2,033,689"
=======,,=======
-,,"11,750"
"59,210",,"63,573"
"57,109",,"57,109"
"2,215",,"2,215"
-,,"2,000"
________,,_________
"118,534",,"136,647"
=======,,=======
"365,598",,"365,598"
-,,"144,333"
"238,652",,"238,652"
"416,354",,"418,209"
"1,039,794",,"1,047,600"
_________,,_________
"2,060,398",,"2,214,392"
=======,,========
