Column,Group,Column,Column,Company,Column
Notes,2020,,2019,2020,2019
,Sh’000,,Sh’000,Sh’000,Sh’000
,,,"100,717
(46,900)",,
,"181,307",,,"226,599",
,"(19,982)",,,"(16,262)",
,"161,325",,"53,817","210,337",
,,,"(29,804)
(24,645)
89,109
3,937
3,150
314,797
(42,777)
(882)
2,588
(20,205)
(72,900)
(77,000)",,
,"(9,920)",,,"(9,920)",
,"(10,848)",,,"(10,848)",
,"85,138",,,"68,195",
,"2,700",,,"2,700",
,,"2,160",,-,
,"23,267",,,"23,267",
,"28,360",,,-,
,"1,404",,,"1,404",
,85,,,85,
,"(169,296)",,,"(169,296)",
,-,,,-,
,"(34,899)",,,"(34,899)",
,"(81,849)",,"145,368","(129,312)",
,,,"(120,543)
35,250",,
,"(19,801)",,,"(19,696)",
,-,,,-,
,"(19,801)",,"(85,293)","(19,696)",
,"59,675",,"113,892
229,308","61,329",
,"343,073",,,"339,698",
,"402,748",,"343,200","401,027",
