Market Indicator,Jan-Jun 2016,Jan-Jun-2017,%Change
NSE 20 Share Index,"3,640.61","3,607.18",-1%
NSE All Share Index (NASI),140.6,152.92,9%
Market P/E Ratio,12.71,14.12,11%
Market Capitalization (Kshs.billions),"2,014","2,221",10%
No. of issued shares (billions),84,89,6%
No. of shares traded (millions),"2,712","3,754",38%
No. of equity transactions,"159,040","134,967",-15%
Equity turnover (Kshs.millions)-ET,"73,644","81,997",11%
% foreign participation to ET,59.66,70.63,18%
Bond turnover (Kshs.billions),263,238,-10%
Kshs/US Dollar currency exchange,101.2731,103.7117,2%
