CAPITAL RAISE TYPE,AMOUNT (KES Millions),AMOUNT (USD Millions)
IPO,0,
REITs,"3,620.00",34.8
Corporate Debt,"21,576.00",207.2
Government Debt,"167,654.00","1,605.7"
Total Raised,"192,850.00","1,847.7"
