Column,2006,2005,2004,2003,2002
NSE Index,"5,646","3,973","2,946","2,738","1,363"
Market Capitalisation (Shs’000),,,,,
Equity Capitalisation,"791,580,000","462,520,000","314,150,000","317,890,000","112,500,000"
Bond book value,"251,469,000","225,375,000","190,217,000","186,902,000","139,034,000"
Total Market capitalisation,"1,043,049,000","687,895,000","504,367,000","504,792,000","251,534,000"
Market Turnover (Shs’000),,,,,
Equity turnover,"95,696,254","36,606,290","22,321,055","15,251,146","2,883,779"
Bond turnover,"48,574,860","13,590,497","34,553,410","41,985,460","33,728,500"
Total Market Turnover,"144,271,114","50,196,787","56,874,465","57,236,606","36,612,279"
