Column,2006,2005,2004,2003,2002
"operating results (Shs‘000)
Operating income
Administrative expenses",,"146,270 113,675 85,001 62,780
(104,613) (89,226) (83,258) (67,844)",,,
,"295,757",,,,
,"(167,911)",,,,
"Gross operating surplus /(deficit)
Other income","127,846","41,657 24,449 1,743 (5,064)
2,033 5,881 1,801 7,047",,,
,"2,588",,,,
"Operating deficit/surplus
Exceptional item
Share of profit(loss) in associate
Surplus/deficit before tax
Taxation","130,434","43,690 30,330 3,544 1,983
(16,030)
(2,336)
41,354 14,300 3,544 1,983
(15,656) (4,279) (2,120) (1,340)",,,
,"11,359",,,,
,"141,793",,,,
,"(40,300)",,,,
Net surplus/(deficit),"101,493","25,698 10,021 1,424 643",,,
"Total assets
Members funds","233,079","107,167 91,509 71,174 48,307
55,267 41,490 31,469 30,045",,,
,"156,760",,,,
