Column,Group,Column,Company,Column
Notes,2022,2021*,2022,2021*
,Sh’000,Sh’000,Sh’000,Sh’000
6,,"329,777",,"329,777"
6,,"66,988",,"66,988"
6,,"52,452",,"52,452"
6,,"72,041",,"72,041"
9,,"105,752",,"93,880"
6,,"23,377",,"23,377"
,,"28,451",,"26,634"
6,,"5,958",,-
,,"6,500",,"6,500"
6,,-,,-
10,,"22,971",,"31,403"
,,-,,-
,,________,,________
,,"714,267",,"703,052"
,,________,,________
8,,"171,841",,"171,841"
,,"54,636",,"54,636"
"12,14",,"54,915",,"54,914"
,,"43,818",,"40,889"
32(a),,"43,606",,"43,092"
,,-,,-
,,"119,036",,"110,176"
,,________,,________
,,"487,852",,"475,548"
,,________,,________
,,"226,415",,"227,504"
35(b)(iii),,"5,846",,"4,658"
,,"6,312",,"6,312"
15(b),,"3,389",,"1,910"
,,________,,________
7,,"210,868",,"214,624"
11(a),,"(78,334)",,"(71,305)"
,,________,,________
,,"132,534",,"143,319"
,,=======,,=======
