"Summary Consolidated Statement of Changes
in Equity",Share,Share,Revaluation &,Retained,Non controlling,Column
,capital,premium,Other reserves,earnings,interest,Total
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ’000
At 1 January 2022,"1,040,017","278,579","2,969","746,246","17,518","2,085,329"
Profit for the year,-,-,-,"13,876",(152),"13,724"
Other comprehensive income for the year,-,-,"29,027",536,-,"29,563"
2021 second special dividend declared in the year,-,-,-,"(130,002)",-,"(130,002)"
2021 final dividend declared in the year,-,-,-,"(104,002)",-,"(104,002)"
Issue of shares to employee share ownership plan,"1,550",880,-,-,-,"2,430"
At 31 December 2022,"1,041,567","279,459","31,996","526,654","17,366","1,897,042"
Profit for the year,-,-,-,"18,403",1,"18,404"
2022 dividend declared in the year,-,-,-,"(52,078)",-,"(52,078)"
Other comprehensive income for the year,-,-,"23,597",-,-,"23,597"
Reduction in NCI on increase in shareholding in AKS,-,-,-,-,"(9,523)","(9,523)"
Issue of shares to employee share ownership plan,243,30,-,-,-,273
2023 dividend declared by AKS Nominees Ltd,-,-,-,-,(984),(984)
At 31 December 2023,"1,041,810","279,489","55,593","492,979","6,860","1,876,731"
