Name,Designation,Nationality,Postal Address,Profession,Age
Mr. Edward Njoroge,"Chairman,
Non-Executive Director",Kenyan,"18511-00500
Nairobi",Biochemist/ Businessman,61
Mr. Bob Karina,"Vice Chairman,
Non-Executive Director",Kenyan,"45236-00100
Nairobi",Investment Banker,61
Ms. Sharon Maviala,Independent Director,Kenyan,"2335-00606
Nairobi",Lawyer,39
Mr. Geoffrey Odundo,Non-Executive Director,Kenyan,"48231-00100
Nairobi",Stockbroker/Fund Manager,45
Mr. Hosea Kili,Independent Director,Kenyan,"55291-00200
Nairobi",Lawyer,51
Dr. Jonathan Ciano,Independent Director,Kenyan,"49711-00100
Nairobi","Group CEO,
Uchumi Supermarkets Ltd",63
Mr. Samuel Kimani,Independent Director,Kenyan,"74093-00100
Nairobi",Banker,52
Ms. Winnie Nyamute,Independent Director,Kenyan,"12899-00100
Nairobi","Certified Public Accountant –
Lecturer, University of Nairobi",46
Mr. Peter Mwangi,Chief Executive,Kenyan,"28516-00200
Nairobi","Chief Executive, NSE",44
