"12-month
expected
credit losses","Lifetime expected
credit losses",Column,Total
,(a),(b),
,Sh’000,"Sh’000
-
-
-
-
-",Sh’000
,-,,"3,163"
,-,,6
,"1,835",,"1,949"
,"3,391",,"4,131"
,-,,508
,"5,226",-,"9,757"
,,"-
-
-
-
-",
,-,,"6,315"
,-,,40
,"1,462",,"1,578"
,"3,947",,"4,647"
,-,,"2,322"
,"5,409",-,"14,902"
,,"-
-
-
-",
,-,,"3,163"
,"1,835",,"1,949"
,"3,391",,"4,131"
,,,508
,"5,226",-,"9,751"
