"Lifetime expected
credit losses",Total
(a),
Sh’000,Sh’000
-,"112,678"
-,"199,870"
"2,315","43,332"
"1,683","24,366"
-,"289,910"
-,"494,308"
______________,______________
"3,998","1,164,464"
"(3,998)","(9,545)"
______________,______________
-,"1,154,919"
==========,==========
-,"92,901"
-,"157,056"
793,"31,729"
686,"15,799"
-,"338,302"
-,"694,896"
______________,______________
"1,479","1,330,683"
"(1,479)","(5,271)"
______________,______________
-,"1,325,412"
==========,==========
