Notes,2022,2021*
,Sh’000,Sh’000
24,,"1,040,017"
25,,"278,579"
,,"2,433"
,,3
,,"735,465"
,,_________
,,"2,056,497"
,,_________
28 (a),,"2,216"
20,,"1,719"
,,_________
,,"3,935"
,,_________
28 (b),,"38,285"
29,,"66,444"
,,-
,,_________
,,"104,729"
,,_________
,,"2,165,161"
,,========
