Column,Share,Column,Other,Column,Column
,premium,,reserves,,Total
,Sh’000,,Sh’000,,Sh’000
,"277,185",,(185),,"1,771,786"
"Profit for the year -
Other comprehensive income, net of
tax -",-,"175,976
-",-,"-
88","175,976"
,-,,(290),,(202)
,-,"175,976
17
(5)
(259,503)
(95,366)
_______
536,901
=======
536,901",(290),"88
(17)
5
-
-
_______
580
=======
580","175,774"
,-,,-,,-
,-,,-,,-
,-,,-,,-
,-,,-,,"(95,366)"
,_______,,_______,,________
,"277,185",,(475),,"1,852,194"
,=======,,=======,,=======
,"277,185",,(475),,"1,852,194"
"Profit for the year -
Other comprehensive income, net of
tax -",-,"209,042
-",-,"-
2,640","209,042"
,-,,(84),,"2,556"
,-,,(84),,"211,598"
,-,,-,,-
,-,,-,,-
,-,,-,,"(70,065)"
,_______,,_______,,_________
,"277,185",,(559),,"1,993,727"
,=======,,=======,,=======
