No,Tenant,Area Let,Term
1.,Techmart East Africa Limited*,"Ground Floor Office Units 1,2,3
and First Floor office unit 1
Licence for three (3) parking bays","Five (5) years and six (6) months
from 1 November 2011."
2.,"Africa Practice East Africa
Limited","Centre office (office number 2) First Floor
License for 3 parking bays",Six (6) years from 1 February 2012
3.,ITwenty Seven Limited,"First Floor office unit 3
License for 2 parking bays",Six (6) years from 1 March 2011
4.,PFL Kenya Limited,"Entire second floor-
License for 4 parking bays",Six (6) years from 8 August 2011
5.,"Sidel Beverages Africa
Kenya Limited","Unit 2 (right hand side) representing 50% of
the office space on the 4th Floor
License for 2 parking bays",Six (6) years from 1 May 2011
6.,"Africa Practice East Africa
Limited","Unit 1 (Left hand side) representing 50% of
the office space on the 4th Floor
License for 4 parking bays",Six (6) years from 1 June 2011
7.,"Panda Development Company
Limited","50% of the Third floor
License for 4 parking bays","Five (5) years and three (3) months
from 1 January 2012"
"The execution, stamping and registration of the leases in respect of the above tenancies is ongoing.
The purchase of Land Reference No. 209/18851 was partly financed and details of this borrowing are set out in Section 13.14 below.
NSE has not disposed any immovable property in the last five years.
* Tenant vacated the premises in July 2013",,,
