Column,2007,2008,2009,2010,2011,2012,2013,2014
Total income (Kshs’000),"301,948","328,451","184,529","319,129","338,974","384,329","622,713","821,901"
Net Profit before tax (Kshs’000),"114,452","84,365","(31,754)","114,286","105,024","127,387","379,496","441,811"
Total assets (Kshs’000),"372,870","298,253","302,971","403,053","475,319","882,690","1,149,124","1,685,104"
