"Agenda
Item",Resolution,For,Against
5.,To adopt the audited Financial Statements for the FY ended 31 December 2016.,,
6.,"To approve a first and final dividend of Kshs 0.27 per share in respect of the FY
ended 31 December 2016.",,
7.,To approve Directors’ Fees paid in respect of the FY ended 31 December 2016.,,
8. (a),"To re-elect Mr Samuel Njuguna Kimani (an Independent Non-Executive Director)
in accordance with Articles 95 and 96.",,
8. (b),"To re-elect Mr. Bob Karina (a director representing the Trading Participants)
in accordance with Articles 95 and 96.",,
8. (c),"To re-elect Dr winnie Nyamute (an Independent Non-Executive Director)
in accordance with Articles 95 and 96.",,
9. (a),"To re-elect Mr Hosea Kimutai Kili to continue serving as a member of Board Audit,
Risk and Compliance Committee",,
9. (b),"To re-elect Ms Nasim Devji to continue serving as a member of Board Audit,
Risk and Compliance Committee",,
9. (c),"To re-elect Dr winnie Nyamute to continue serving as a member of Board Audit,
Risk and Compliance Committee",,
10.,"To re-appoint Messrs PricewaterhouseCoopers as the auditors for the FY
ending 31 December 2017 and to authorize the Directors to fix their remuneration.",,
11. (a),To approve change of name of the Company to Nairobi Securities Exchange PLC.,,
11. (b),"To adopt the amended Articles of Association of the Company in line with the
Companies Act, 2015",,
11. (c) (i),"To approve the creation of an Employee Share Ownership Plan (ESOP) Unit Trust
to be called the “NSE ESOP Unit Trust”",,
11. (c) (ii),"To authorize the Board to allot and finance from the resources of the Company
up to Twelve Million Nine Hundred Thousand (12,900,000) ordinary shares in the
Company (constituting, when issued, approximately 5% of the issued share capital
of the Company) to the NSE ESOP Unit Trust",,
11. (c) (iii),"To authorize the Board to do all such things as may be required for the establishment
and implementation of NSE ESOP Unit Trust",,
