"12 – month
expected
credit losses","Lifetime expected
credit losses
(a) (b)",Column,Total
Sh’000,Sh’000,Sh’000,Sh’000
,,"-
-
-
-
-",
,-,,"283,126"
,"5,053",,"34,365"
,"4,254",,"23,470"
,-,,"243,488"
,-,,"529,117"
,"9,307","-
-","1,113,566"
,"(9,307)",,"(13,016)"
,-,-,"1,100,550"
,,"-
-
-
-
-",
,-,,"112,678"
,"2,315",,"43,332"
,"1,683",,"24,366"
,-,,"289,910"
,-,,"490,933"
,"3,998","-
-","961,219"
,"(3,998)",,"(8,973)"
,-,-,"952,246"
