AGENDA ITEM,R,ESOLUTION,FOR,AGAINST
,O,RDINARY BUSINESS,,
4.,To adopt the audited Financial Statements for the Financial Year ended 31st December 2022,,,
5.,"To approve a final dividend of Kshs. 0.20 per share and to approve the closure of the Register of Members at the close of
business on 30th May 2023 for one day for the purpose of determining the qualifying members entitled to dividends.",,,
6.,"To approve the Remuneration Report of the Board in respect of the Financial Year ended 31st December 2022 and to
authorize the Directors to fix their remuneration.",,,
7 (a),To re-elect Mr. Michael Turner (an Independent Non-Executive Director) in accordance with Articles 94 and 95.,,,
7 (b),To re-elect Ms. Risper Alaro-Mukoto (a Non-Executive Director representing Listed Companies) in accordance with Articles 94 and 95.,,,
