"12 – month Lifetime expected
expected credit losses
credit losses (a) (b) Total",Column,Column,Column
,"Sh’000
12,811
14,265","Sh’000
-
-","Sh’000
18,505
23,597"
,"27,076",-,"42,102"
,"5,226
7,585","-
-","9,757
8,748"
,"12,811",-,"18,505"
,"7,563
13,241","-
-","13,255
20,626"
,"20,804",-,"33,881"
,"45,226
2,337","-
-","9,751
3,504"
,"7,563",-,"13,255"
