Group,Column,Company,Column
2023,2022,2023,2022
,Sh’000,"Sh’000
305,133
148,975",Sh’000
,"344,738",,"344,738"
,"146,822",,"146,822"
,"491,560","454,108","491,560"
,"(53,207)","(42,065)
(85,608)","(53,207)"
,"(57,290)",,"(57,290)"
,"(110,497)","(127,673)","(110,497)"
,"381,063","326,435","381,063"
,"154,331","73,448","85,739"
,"241,422","207,524","241,422"
,"(108,083)","(6,654)","(108,083)"
,"(112,855)","(54,627)","(112,855)"
,,"73,448
-",
,"154,331",,"85,739"
,"33,944",,-
,"188,275","73,448","85,739"
