Group,Column,Company,Column
2023,2022,2023,2022
,Sh’000,"Sh’000
64,928
17,340
20,173
10,794
(101,562)
2,018
(6)
(1,716)
273
(4,486)
27,500",Sh’000
,"37,799",,"61,112"
,"26,214",,"26,213"
,"22,298",,"22,298"
,"46,544",,"25,806"
,"(104,376)",,"(90,300)"
,"2,523",,"2,359"
,644,,644
,-,,"(5,842)"
,"2,430",,"2,430"
,"(1,387)",,"(1,387)"
,"17,222",,"17,222"
,"12,112","(29,672)",(557)
,,"(23,081)
9,670
-
(17,263)
-
(4,100)",
,904,,(522)
,"18,483",,"17,662"
,(1),,(1)
,-,,75
,200,,-
,"(6,104)",,"(3,639)"
,"13,482","(34,774)","13,575"
