Group,Column,Company
2021,2020,2021
Sh’000,Sh’000,Sh’000
"135,901",,"141,719"
"(85,391)",,"(80,842)"
––––––––,,––––––––
"50,510",,"60,877"
––––––––,,––––––––
"(5,528)",,"(5,528)"
"(3,648)",,"(3,648)"
"105,752",,"93,880"
"47,634",,"26,436"
-,,-
"4,117",,"4,117"
"(84,567)",,"(84,454)"
-,,-
(712),,(712)
––––––––,,––––––––
"63,048",,"30,091"
––––––––,,––––––––
"(232,533)",,"(232,533)"
"(23,500)",,-
––––––––,,––––––––
"(256,033)",,"(232,533)"
––––––––,,––––––––
"(142,475)",,"(141,565)"
"943,643",,"770,984"
––––––––,,––––––––
"801,168",,"629,419"
=======,,=======
"374,417",,"362,834"
"238,652",,"238,652"
"43,766",,"27,933"
"144,333",,-
––––––––,,––––––––
"801,168",,"629,419"
=======,,=======
