Name,Category,Fees,"Sitting
allowances","Gross pay
+ other
allowances","Provident
scheme
contribution",Total
,,Sh,Sh,Sh,Sh,Sh
,,"1,200,000",,-,,"1,765,714"
,,"480,000",,-,,"1,301,429"
,,"360,000",,-,,"924,286"
,,"720,000",,-,,"1,977,142"
,,"360,000",,-,,"688,571"
,,"720,000",,-,,"1,762,857"
,,"720,000",,-,,"1,662,857"
,,"840,000",,-,,"2,211,429"
,,"720,000",,-,,"1,934,286"
,,"360,000",,-,,"1,038,571"
,,"360,000",,-,,"795,714"
,,"360,000",,-,,"731,428"
,,-,,"24,589,136",,"26,811,536"
,,________,,__________,,_________
,,"7,200,000",,"24,589,136",,"43,605,820"
,,=======,,=========,,========
