Column,Group,Column,Company,Column
Notes,2023,2022*,2023,2022*
,Sh’000,"Sh’000
37,799
12,112
13,482",Sh’000,
,"42,326",,"64,928",
,"(38,504)",,"(29,672)",
,"(17,369)",,"(34,774)",
,"(13,547)","63,393
(97,362)",482,
,"(27,905)",,"(23,044)",
,"(41,452)","(33,969)","(22,562)",
,,"(7,564)
(5,201)
104,376
1,098
(93,392)
(86,791)
1,160
-",,
,"(2,076)",,"(1,087)",
,"(19,861)",,"(19,861)",
,"112,003",,"90,705",
,6,,6,
,"21,166",,"21,166",
,"51,689",,"44,722",
,(439),,-,
,"(7,000)",,"(7,000)",
,"155,488","(86,314)","128,651",
,,"(243,965)",,
,"(49,950)",,"(49,950)",
,"(49,950)","(243,965)","(49,950)",
,"64,086","(364,248)
613,095
1,387","56,139",
,"250,234",,"228,688",
,"4,486",,"4,486",
,"318,806","250,234","289,313",
