Group,Column,Company,Column
2020,2019,2020,2019
Sh’000,Sh’000,Sh’000,Sh’000
,"127,581
137,340
14,264
1,193
(3,937)",,
"276,441",,"134,731",
-,,-,
"16,187",,"8,930",
(101),,(56),
"(4,860)",,"(2,700)",
"287,667","276,441","140,905",
,"684,208
(85,401)",,
"667,865",,"667,865",
"(41,619)",,"(41,619)",
"626,246","598,807","626,246",
"253,630","242,516","140,905",
"323,903","357,264","323,903",
"40,496","43,469","40,496",
,"242,516
33,925",,
"253,630",,"140,905",
"36,194",,-,
"289,827","276,441","140,905",
