Building,"Motor
vehicles","Furniture&
fittings","Office
equipment","Computer
equipment",WIP,Total
,Sh’000,"Sh’000
89,399
82
(2,298)
-
-",Sh’000,"Sh’000
71,175
5,921
(1,482)
3,661
-",Sh’000,
,"12,772",,"40,887",,"3,661",
,-,,"1,561",,-,
,-,,"(1,647)",,-,
,-,,-,,"(3,661)",
,-,,-,,-,
,"12,772","87,183
-
-
-
-","40,801","79,275
294
(99)
-
(136)",-,
,-,,793,,-,
,-,,-,,-,
,-,,-,,-,
,-,,136,,-,
,"12,772","87,183","41,730","79,334",-,
,,"-
87,183",,"-
79,334",,
,-,,-,,-,
,"12,772",,"41,730",,-,
,"12,772","87,183","41,730","79,334",-,
,,"80,042
2,561
(2,298)
-",,"52,978
11,209
(1,442)
-",,
,"9,047",,"31,347",,-,
,"3,193",,"6,472",,-,
,-,,(705),,-,
,-,,-,,-,
,"12,240","80,305
2,487
-
-","37,114","62,745
9,327
(99)
-",-,
,532,,"2,494",,-,
,-,,-,,-,
,-,,-,,-,
,"12,772","82,792","39,608","71,973",-,
,-,"4,391","2,122","7,361",-,
,532,"6,878","3,687","16,530",-,
