Group,Column,Column,Company,Column
2020,,2019,2020,2019
Sh’000,,Sh’000,Sh’000,Sh’000
,,"20,919
3,427",,
"53,742",,,"50,874",
"(2,746)",,,"(1,312)",
"50,996",,"24,346","49,562",
,,"104,499",,
21,"8,914",,"240,935",
,,"16,415
6,727
1,204",,
"60,233",,,"60,233",
"1,934",,,-,
"(11,171)",,,"(10,671)",
"50,996",,"24,346","49,562",
,,"(27,049)
20,919
48
(46,900)",,
"(52,982)",,,"(50,017)",
"53,742",,,"50,874",
-,,,-,
"(19,982)",,,"(16,262)",
"(19,222)",,"(52,982)","(15,405)",
,,"(53,042)
60",,
"(19,277)",,,"(15,405)",
55,,,-,
"(19,222)",,"(52,982)","(15,405)",
