Market Indicators,2013,2014,2015,2016,2017,H1 2018
"Mkt Cap ( US $
Billion)",22.334,25.388,20.032,18.848,24.428,25.50
"Trading Volumes
(Billion Units)",7.67,8.13,7.00,5.81,7.07,3.71
"Equity Turnover (US
$ Billions)",1.81,2.38,2.05,1.44,1.66,1.07
NSE All Share Index,136.65,162.89,145.70,133.34,171.20,174.66
NSE 20 Share Index,"4,926.97","5,112.65","4,040.75","3,186.21","3,711.94","3,285.73"
