Group,Company
2019,2019
Sh’000,Sh’000
"567,382","567,382"
"89,109","73,641"
"59,147","50,219"
_______________,_______________
"715,638","691,242"
"(625,403)","(619,592)"
"14,264","10,424"
_______________,_______________
"104,499","82,074"
"(24,346)","(21,237)"
_______________,_______________
"80,153","60,837"
-,-
"(18,416)","(18,416)"
_______________,_______________
"(18,416)","(18,416)"
_______________,_______________
"1,193",663
_______________,_______________
"1,193",663
_______________,_______________
"(17,223)","(17,753)"
_______________,_______________
"62,930","43,084"
===========,===========
Shs,Shs
0.30,0.23
===========,===========
