"12 – month
Lifetime expected credit losses
expected
(a) (b) (c)
credit losses",Column,Column,Column
,"Sh’000
-
-
1,835
3,391
-
-","Sh’000
-
-
-
-
-
-","Sh’000
446,460
143,388
21,722
57,892
317,171
90,419"
,"5,226
(5,226)","-
-","1,077,052
(9,757)"
,-,-,"1,067,295"
,"-
3,151
4,412
-
-","-
-
-
-
-","338,073
58,714
37,293
292,628
360,794"
,"7,563
(7,563)","-
-","1,087,502
(13,255)"
,-,-,"1,074,247"
,"-
1,835
3,391
-
-","-
-
-
-
-","446,460
21,722
57,134
317,171
60,267"
,"5,226
(5,226)","-
-","902,754
(9,751)"
,-,-,"893,003"
