Group,Column,Company,Column
2020,2019,2020,2019
Sh’000,Sh’000,Sh’000,Sh’000
,"414,827
7,000
2,168",,
"405,219",,"405,219",
"2,688",,"2,688",
"1,542",,"1,542",
"409,449","423,995","409,449",
,"76,057
26,045
16,667
34,350",,
"69,918",,"69,918",
"23,691",,"23,691",
"8,334",,"8,334",
"36,865",,"36,865",
"138,808","153,119","138,808",
,"577,114",,
"548,257",,"548,257",
,"198,635
52,360
27,758
21,061
26,108
22,927
4,213
(1,511)
7,734
4,274",,
"172,270",,"172,270",
-,,-,
"33,559",,"33,558",
"24,319",,"24,319",
"24,885",,"24,885",
"20,457",,"19,429",
"4,207",,"3,093",
(1),,(1),
(379),,(379),
"3,966",,"4,043",
,"168,007
11,205
2,488
16,252
683",,
"155,744",,"155,744",
-,,-,
"1,239",,"1,239",
"15,169",,"15,169",
118,,118,
"172,270","198,635","172,270",
