Name,"February
13th","May
23rd","August
14th","November
14th"
Mr. Bob Karina,√,√,√,√
Mr. John Odhiambo,,,√,√
Ms. Rose Mambo,,√,,√
Mr. Job Kihumba,,√,,√
Mr. Davis Gachuba,√,,,
Mr. Moses Lopokoiyit,,√,√,√
Mr. John Kirimi,√,√,√,√
Mr. Joseph Kahenya,√,√,√,
Mr. Peter Mwangi*,√,√,√,
Mr. Andrew Wachira**,,,,√
