Agenda Item,RESOLUTION,FOR,AGAINST
4.,"To adopt the audited Financial Statements for the Financial Year
ended 31 December 2019.",,
5.,"To approve a first and final dividend of Kshs. 0.08 per share in
respect of the Financial Year ended 31 December 2019.",,
6.,"To approve the Remuneration Report of the Board in respect of the
Financial Year ended 31 December 2019.",,
7 (a),"To re-elect Mr. Samuel Kimani (an Independent Non-Executive
Director) in accordance with Articles 94 and 95.",,
7 (b),"To re-elect Mr. Bob Karina (a Director representing the Trading
Participants) in accordance with Articles 94and 95.",,
7 (c),"To re-elect Mr. Michael Turner (a Director representing the Listed
Companies) in accordance with Articles 94 and 95.",,
8 (a),"To appoint Ms. Risper Alaro-Mukoto to continue serving as a member
of Board Audit, Risk and Compliance Committee",,
8 (b),"To appoint Mrs. Nasim Devji to continue serving as a member of the
Board Audit, Risk and Compliance Committee",,
8 (c),"To appoint Mr. Hosea Kimutai Kili to continue serving as a member of
the Board Audit, Risk and Compliance Committee",,
8 (d),"To appoint Ms. Isis Nyong’o Madison to continue serving as a
member of the Board Audit, Risk and Compliance Committee",,
9.,"To re-appoint Messrs PricewaterhouseCoopers as the auditors for
the Financial Year ending 31 December 2020 and to authorize the
Directors to fix their remuneration.",,
