Name,February 2,May 14,August 14,November 12
Mr. Bob Karina,,√,√,√
Mr. John Odhiambo,,√,√,
Ms. Rose Mambo,√,√,√,√
Mr. Davis Gachuba***,,,,
Mr. Joseph Kahenya*,,√,,√
Mr. John Kirimi,√,√,√,√
Mr. Fred Murimi Ngari*,,√,√,√
Mr. Job Kihumba,√,√,√,
Mr. Lucas Otieno**,√,,,
Mr. Dennis Waweru**,√,,,
Mr. Peter Mwangi,√,√,√,√
