Column,Holding,Column,Column,Column
Principal activity,2023,2022,2023,2022
,,,"Sh’000
20,000
118,899",Sh’000
,,100%,,"20,000"
,,88.8%,,"111,899"
,,,"138,899","131,899"
,,,"100,000
10,000",
,,,,"100,000"
,,,,"10,000"
,,,"110,000","110,000"
,,,"248,899","241,899"
