"12-month
expected
credit losses","Lifetime expected
credit losses
(a) (b)",Column,Total
Sh’000,Sh’000,Sh’000,Sh’000
,,"-
-",
,"3,495",,"9,545"
,"5,812",,"3,966"
,"9,307",-,"13,511"
,,"-
-",
,"1,479",,"5,271"
,"2,016",,"4,274"
,"3,495",-,"9,545"
,,"-
-",
,"3,495",,"8,973"
,"5,812",,"4,043"
,"9,307",-,"13,016"
,,"-
-",
,"1,479",,"4,736"
,"2,016",,"4,237"
,"3,495",-,"8,973"
