Column,"1,038,003",Column,(57),Column,"859,683",Column
"Profit for the year
Other comprehensive income for the year",-,"-
-",-,"-
26,613","143,319","143,319
26,673"
,-,,60,,-,
,-,"-
-
-
1,394
________
278,579
=======
278,579",60,"26,613
-
-
-
________
2,433
=======
2,433","143,319",
,-,,-,,"(137,535)",
,-,,-,,"(130,002)",
,"2,014",,-,,-,
,________,,________,,________,
,"1,040,017",,3,,"735,465",
,=======,,=======,,=======,
,"1,040,017",,3,,"735,465",
"Profit for the year
Other comprehensive income for the year",-,"-
-",-,"-
31,496","39,321","39,321
30,422"
,-,,"(1,077)",,3,
,-,,"(1,077)",,"39,324",
,-,,-,,"(130,002)",
,-,,-,,"(104,002)",
,"1,550",,-,,-,
,________,,________,,________,
,"1,041,567",,"(1,074)",,"540,785",
,=======,,=======,,=======,
