"Sh'000
272,298","Sh'000
116,300","Sh'000
254,966"
"298,904
1,638","14,650
1,182","298,904
910"
"300,542","15,832","299,814"
"572,840","132,132","554,780"
"272,241
57","116,272
28","254,966
-"
"272,298","116,300","254,966"
"572,783
57","132,104
28","554,780
-"
"572,840","132,132","554,780"
"Sh
1.04","Sh
0.45","Sh
0.98"
