Month,2013,2017
,Turnover Ksh (Millions),Turnover Ksh (Millions)
January,"8,464","12,054"
February,"14,693","12,579"
March,"11,182","12,460"
April,"9,856","11,409"
May,"16,070","16,347"
June,"13,021","17,144"
