Column,2009,2008,2007,2006,2005
NSE 20 Share Index,"3,247","3,521","5,444","5,646","2,946"
Market capitalization (Kshs.billion),832,854,851,792,463
Number of shares traded (million),"3,160","5,856","1,938","1,455",874
Number of transactions (equity),"402,169","890,542","973,548","598,301","176,483"
Equity turnover (Kshs.billion),38,97,89,95,36
Bond turnover (Kshs.billion),110,95,85,49,14
