Group,Column,Company,Column
2020,2019,2020,2019
Sh’000,Sh’000,Sh’000,Sh’000
"113,242","29,927
689,185","113,242",
"650,149",,"650,149",
"763,391","719,112
65,106","763,391",
"10,935",,"9,214",
"774,326","784,218
(1,098)
(401)","772,605",
"(1,565)",,"(1,565)",
(56),,(56),
"772,705","782,719","770,984",
,"289,910
343,073
149,736",,
"243,488",,"243,488",
"402,748",,"401,027",
"126,469",,"126,469",
"772,705","782,719","770,984",
,"343,073
744
(617)",,
"402,748",,"401,027",
-,,-,
-,,-,
"402,748","343,200","401,027",
