"AGENDA
ITEM",RESOLUTION,FOR,AGAINST
,ORDINARY BUSINESSS,,
4.,"To adopt the audited Financial Statements for the Financial Year ended 31st December 2024,
together with the reports of the Directors and Auditors thereon.",,
5.,"To approve a final dividend of Kshs.0.32 per share in respect of the Financial Year ended
31st December 2024, to be paid to shareholders on the register as at the close of business
on 21st May 2025.",,
6.,"To approve the Remuneration Report of the Board in respect of the Financial Year ended
31st December 2024 and to authorize the Directors to fix their remuneration.",,
7(a),"To re-elect Mr. Kiprono Kittony (a Non-Executive Director and Chairman of the Board) in
accordance with Articles 94 and 95.",,
7(b),"To re-elect Ms. Isis Nyong’o (an Independent Non-Executive Director) in accordance with
Articles 94 and 95.",,
7(c),"To re-elect Mr. John Niepold (an Independent Non-Executive Director) in accordance with
Articles 94 and 95.",,
7(d),"To re-elect Ms. Caroline Kariuki (an Independent Non-Executive Director) in accordance with
Articles 94 and 95.",,
8(a),"To appoint Ms. Isis Nyong’o to continue serving as a member of the Board Audit, Risk and
Compliance Committee.",,
8(b),"To appoint Mr. John Niepold to continue serving as a member of the Board Audit, Risk and
Compliance Committee.",,
8(c),"To appoint Ms. Risper Alaro-Mukoto to continue serving as a member of the Board Audit, Risk
and Compliance Committee.",,
8(d),"To appoint Ms. Caroline Kariuki to continue serving as a member of the Board Audit, Risk and
Compliance Committee.",,
9.,"To note the retirement of Deloitte & Touche LLP as the Auditor of the Company, and to
appoint PKF Kenya LLP as the Auditor of the Company in accordance to the provisions of
Section 721 of the Companies Act, 2015, and to authorize the Directors to fix their
remuneration for the ensuing Financial Year.",,
