Column,Share,Column,Other,Column,Column
,premium,,reserves,,Total
,Sh’000,,Sh’000,,Sh’000
,"277,185",,(185),,"1,774,757"
"Profit for the year -
Other comprehensive income, net of
tax -",-,"183,956
-",-,"-
88","183,956"
,-,,(290),,(202)
,-,"183,956
17
(5)
(259,503)
(95,366)
_______
547,852
======
547,852",(290),"88
(17)
5
-
-
_______
580
======
580","183,754"
,-,,-,,-
,-,,,,-
,-,,-,,-
,-,,-,,"(95,366)"
,_______,,_______,,________
,"277,185",,(475),,"1,863,145"
,=======,,======,,=======
,"277,185",,(475),,"1,863,145"
"Profit for the year -
Other comprehensive income, net of
tax -",-,"216,250
-",-,"-
2,640","216,250"
,-,,(84),,"2,556"
,-,,(84),,"218,806"
,-,,-,,-
,-,,-,,-
,-,,-,,"(70,065)"
,_______,,_______,,________
,"277,185",,(559),,"2,011,886"
,=======,,=======,,=======
