Building,"Motor
vehicles","Furniture &
fittings","Office
equipment","Computer
equipment",WIP,Total
,Sh’000,"Sh’000
89,399
82
(2,298)
-
-",Sh’000,"Sh’000
71,175
5,921
(1,482)
3,661
-",Sh’000,
,"12,772",,"40,891",,"3,661",
,-,,"1,561",,-,
,-,,"(1,647)",,-,
,-,,-,,"(3,661)",
,-,,-,,-,
,"12,772","87,183
-
-
-
-","40,805","79,275
294
(99)
-
(136)",-,
,-,,"1,782",,-,
,-,,-,,-,
,-,,-,,-,
,-,,136,,-,
,"12,772","87,183","42,723","79,334",-,
,,"-
87,183",,"-
79,334",,
,-,,-,,-,
,"12,772",,"42,723",,-,
,"12,772","87,183","42,723","79,334",-,
,,"80,042
2,561
(2,298)
-",,"52,978
11,209
(1,442)
-",,
,"9,047",,"31,349",,-,
,"3,193",,"6,473",,-,
,-,,(705),,-,
,-,,-,,-,
,"12,240","80,305
2,487
-
-","37,117","62,745
9,327
(99)
-",-,
,532,,"2,701",,-,
,-,,-,,-,
,-,,-,,-,
,"12,772","82,792","39,818","71,973",-,
,,"4,391",,"7,361",,
,-,,"2,905",,-,
,532,"6,878","3,688","16,530",-,
