New and Amendments to standards,"Effective for annual periods beginning on or
after"
"Amendments to IAS 10 and IAS 28 – Sale contribution
of assets between Investor and its Associate or Joint
Venture","Yet to be set, however earlier application
permitted"
"Annual Improvements to IFRS Standards 2018-2020
Cycle - Amendments to IFRS 1 First-time Adoption
of International Financial Reporting Standards, IFRS
9 Financial Instruments, IFRS 16 Leases, and IAS 41
Agriculture","Annual periods beginning on or after 1
January 2022"
IFRS 17 - insurance contracts,"Annual periods beginning on or after 1
January 2023"
"Amendments to IAS 1 -Classification of Liabilities as
Current or Non-current","Annual periods beginning on or after 1
January 2023"
"Amendments to IFRS 3 - Reference to the Conceptual
Framework","Annual periods beginning on or after 1
January 2022"
"Amendments to IFRS 16 - Property, Plant and
Equipment – Proceeds before Intended Use","Annual periods beginning on or after 1
January 2022"
"Amendments to IAS 37 - Onerous Contracts – Cost of
Fulfilling a Contract","Annual periods beginning on or after 1
January 2022"
"Amendments to IAS 1 and IFRS Practice Statement 2
Disclosure of Accounting Policies","Annual periods beginning on or after 1
January 2023"
"Amendments to IAS 8 - Definition of Accounting
Estimates","Annual periods beginning on or after 1
January 2023"
"Amendments to IAS 12 - Deferred Tax related to Assets
and Liabilities arising from a Single Transaction","Annual periods beginning on or after 1
January 2023"
