Name,February 9,May 17,August 10,November 21
Mr. Geoffrey Odundo,√,√,√,√
Mr. Bob Karina,√,√,√,√
Mr. Stanley Ngaine,√,,√,√
Mr. Joseph Kitamirike,√,,,√
Mr. Kris Senanu,√,√,√,
Ms. Rose Mambo,√,√,√,
Ms. Catherine Musakali**,√,,,
Mr. James Gikonyo,√,√,√,√
Mr. Peter Mwangi,√,√,√,√
