"12 – month
Lifetime expected credit losses
expected
(a) (b) (c)
credit losses",Column,Column,Column
,"Sh’000
5,226
7,585","Sh’000
-
-","Sh’000
9,757
8,748"
,"12,811",-,"18,505"
,"5,409
(183)","-
-","14,902
(5,145)"
,"5,226",-,"9,757"
,"5,226
2,337","-
-","9,751
3,504"
,"7,563",-,"13,255"
,"4,652
574","-
-","14,085
(4,334)"
,"5,226",-,"9,751"
