Group,Column,Company,Column
2023,2022,2023,2022
,Sh’000,"Sh’000
211,094
64,395
3,500
300
-",Sh’000
,"225,838",,"225,838"
,"79,380",,"79,380"
,"5,175",,"5,175"
,"1,505",,"1,505"
,"6,463",,-
,"318,361","279,289","311,898"
,,"64,538
27,944
-
116,569",
,"64,495",,"64,495"
,"29,656",,"29,656"
,694,,694
,"93,548",,"93,548"
,"188,393","209,051","188,393"
,"506,754","488,340","500,291"
,,"176,452
17,340
20,173
31,749
15,916
4,279
(6)
1,819
(4,334)",
,"177,359",,"177,359"
,"26,214",,"26,213"
,"22,298",,"22,298"
,"31,475",,"31,475"
,"15,814",,"15,557"
,"4,914",,"3,866"
,644,,644
,"1,811",,"1,811"
,62,,929
