Column,2020,2019,Variance
,Kshs. ‘000,Kshs. ‘000,%
Revenue,"669,939","715,638",-6.39
Stakeholder contribution,,,
Taxes to Government,"19,982","46,900",-57.39
Shareholders dividend paid,"23,151","127,155",-81.79
Human capital,"172,270","198,635",-13.27
