Name,Jan 20th,Feb 4th,Feb 20th,March 19th,Apr 30th,Jun 3rd,Aug 20th,"Nov 14th -
Strategic Board
Retreat 2010-
2014",Nov 30th
"Edward
Njoroge",√,,√,,√,√,√,√,√
"Lutaf
Kassam",,,√,√,√,,√,√,√
"Job
Kihumba*",,,,,√,√,√,√,√
"Peter
Mwangi",√,√,√,√,√,√,√,√,√
"David
Njoroge",√,√,,√,√,,√,√,
"Stanley
Ngaine",√,√,√,√,√,√,√,√,√
"George
Maina",√,√,√,√,√,√,√,√,√
"Andre
DeSimone",√,√,√,,√,√,√,√,√
"Lucas
Otieno*",,,,,√,√,√,√,√
"Winnie
Nyamute**",,,,,,,√,√,√
"Catherine
Musakali**",,,,,,,√,√,√
