Group,Company
2019,2019
Sh’000,Sh’000
"29,927","29,927"
"689,185","689,185"
______________,______________
"719,112","719,112"
"65,106","61,731"
______________,______________
"784,218","780,843"
"(1,098)","(1,098)"
(401),(401)
______________,______________
"782,719","779,344"
==========,==========
"289,910","289,910"
"343,073","339,698"
"149,736","149,736"
______________,______________
"782,719","779,344"
==========,==========
"343,073","339,698"
744,742
(617),-
______________,______________
"343,200","340,440"
==========,==========
