Size of Board,8
Number of Independent Non-Executive Directors,6
Number of Trading Participant Non-Executive Directors,1
Number of Executive Directors,1
Number of women on the Board,2
Separate Chairman and CEO,Yes
Terms of Reference for Board Committees,Yes
Independent Audit Committee,Yes
Number of Financial experts on Audit Committee,3
Number of Board Meetings held in full year 2014,18
Number of Annual General Meetings held in 2014,1
Re-election of Directors in accordance with Articles of Association,Yes
Board Induction programs conducted,Yes
