Group,Company
2019,2019
Sh’000,Sh’000
"100,717","104,928"
"(46,900)","(42,663)"
_____________,_____________
"53,817","62,265"
_____________,_____________
"(29,804)","(29,804)"
"(24,645)","(24,645)"
"89,109","73,641"
"3,937","3,937"
"3,150",-
"314,797","314,797"
"(42,777)",-
(882),(882)
"2,588","2,588"
"(20,205)","(20,205)"
"(72,900)","(72,900)"
"(77,000)","(77,000)"
_____________,_____________
"145,368","169,527"
_____________,_____________
"(120,543)","(120,638)"
"35,250",-
_____________,_____________
"(85,293)","(120,638)"
_____________,____________
"113,892","111,154"
"229,308","229,286"
_____________,_____________
"343,200","340,440"
==========,==========
