Parameter,"Jan - Jun.
2014","Jan - Jun.
2015",% Change
NSE 20 share Index,"4,885","4,907",0.4
NSE All share index,150,164,9.3
FTSE NSE 15 Equity index,196,218,11.2
FTSE NSE 25 Equity index,198,217,9.6
Equity Market Cap. (Kshs Billion),"2,106","2,302",9.3
"FTSE NSE Kenyan Shiling
Government Bond Index",92,92,
Equity Turnover (Kshs. Billion),116,128,10.3
Bond Turnover (Kshs. Bililon),278,202,(27.3
