"Automated
trading
system
software","Other
software","Broker
back office
software","Bond
software
license","Derivatives
software",WIP,Total
Sh’000,Sh’000,Sh’000,Sh’000,Sh’000,Sh’000,Sh’000
,,"67,931
4,773
2,491
-",,"-
5,555
48,783
-",,
,"38,088",,"38,191",,"122,215",
,"7,979",,-,,587,
,"3,903",,-,,"(121,869)",
,"(9,093)",,-,,-,
,"40,877","75,195
-
-","38,191","54,338
-
-",933,
,"2,031",,-,,"1,615",
,506,,-,,(877),
,"43,414","75,195","38,191","54,338","1,671",
,,"44,240
6,793
-",,"-
2,566
-",,
,"31,492",,"32,294",,-,
,"3,768",,"5,897",,-,
,"(8,885)",,-,,-,
,"26,375","51,033
7,519","38,191","2,566
5,434",-,
,"3,830",,-,,-,
,"30,205","58,552","38,191","8,000",-,
,,"16,643",,"46,338",,
,"13,209",,-,,"1,671",
,,"24,162",,"51,771",,
,"14,502",,-,,933,
