Name,"February
20th","May
29th","August
13th","November
12th"
Mr. Hosea K Kili,√,√,,√
Ms. Rose Mambo,,√,,
Ms. Winnie Nyamute,√,√,√,√
Mr. Karim Anjarwalla,,,√,
Ms. Sharon Maviala,,√,,√
Mr. Peter Mwangi*,√,√,√,
Mr. Andrew Wachira**,,,,√
