"Lifetime expected
credit losses",Total
(a),
Sh’000,Sh’000
-,830
-,572
"2,315","4,442"
"1,683","2,202"
-,"1,499"
______________,______________
"3,998","9,545"
==========,==========
-,"1,258"
-,535
793,828
686,751
-,"1,899"
______________,______________
"1,479","5,271"
==========,==========
-,830
"2,315","4,442"
"1,683","2,202"
-,"1,499"
______________,______________
"3,998","8,973"
==========,==========
-,"1,258"
793,828
686,751
-,"1,899"
______________,______________
"1,479","4,736"
==========,==========
