Column,Group,Column,Company,Column
Notes,2023,2022,2023,2022
,Sh’000,"Sh’000
225,838
79,380
93,548
71,175
104,376
29,656
6,463
6,047
694
25,587
-",Sh’000,
,"211,094",,"211,094",
,"64,395",,"64,395",
,"116,569",,"116,569",
,"69,838",,"68,338",
,"120,950",,"101,562",
,"27,944",,"27,944",
,"2,439",,-,
,"8,013",,"8,013",
,-,,-,
,"41,079",,"66,686",
,-,,"1,716",
,"662,321","642,764","666,317",
,"176,452","177,359
56,001
48,512
43,193
47,289
17,222
161,413","176,452",
,"61,847",,"61,847",
,"37,720",,"37,513",
,"41,914",,"38,615",
,"47,922",,"47,665",
,"27,500",,"27,500",
,"202,683",,"195,664",
,"596,038","550,989","585,256",
,"66,283","91,775
(62)
(7,370)","81,061",
,"5,145",,"4,334",
,"(9,673)",,"(9,673)",
,"(19,429)","(46,544)","(10,794)",
,"42,326","37,799","64,928",
,"(23,922)","(24,075)","(20,482)",
,"18,404","13,724","44,446",
