Column,2017,2016,Variance
,Sh ‘000,Sh ‘000,%
Revenue,"757,032","717,185",6%
Stakeholder contribution,,,
Taxes to Government,"29,789","24,641",21%
Shareholders dividend paid,"66,474","92,375",-28%
Payment to suppliers,"250,701","209,248",20%
Human capital,"201,889","209,975",-4%
