"(19,222)","(52,982)"
"72,190","53,742"
"(85,391)","(19,982)"
–––––––,–––––––
"(32,423)","(19,222)"
======,======
"(32,511)","(19,277)"
88,55
–––––––,–––––––
"(32,423)","(19,222)"
======,======
