Profit for the period,-,-,-,"151,520",57,"151,577"
Other comprehensive income,-,-,"20,366",-,-,"20,366"
2024 first and final dividend declared in the year,-,-,-,"(83,403)",-,"(83,403"
Issue of shares to employee share ownership plan,"1,048",596,-,-,-,"1,644"
At 30 June 2025,"1,043,586","280,321","91,791","635,696","6,945","2,058,339"
