Notes,2022,2021*
,Sh’000,Sh’000
12,,"171,380"
13,,"313,100"
14,,"126,217"
15 (b),,"112,619"
16,,"241,899"
,,-
17,,"75,333"
19 (a),,-
20,,-
,,_________
,,"1,040,548"
,,_________
21 (a),,"89,409"
,,"12,913"
19 (b),,"365,598"
11 (c),,"27,248"
22,,"27,933"
22,,"238,652"
22,,"362,860"
,,_________
,,"1,124,613"
,,_________
,,"2,165,161"
,,========
