AGENDA ITEM,RESOLUTION,FOR,AGAINST
,SPECIAL BUSINESS,,
11.,"To consider and, if thought fit, to pass the following Ordinary Resolutions:
(a) THAT the Directors of the NSE be authorized to incorporate the Nairobi
Securities Exchange Limited as a wholly owned subsidiary company of
the NSE.
(b) THAT subject to obtaining all regulatory approvals including from the
Capital Markets Authority, the exchange business of the NSE be carried
on by the newly incorporated Nairobi Securities Exchange Limited and
the NSE operates as a non-operating holding company.
(c) THAT the Directors of the NSE be authorized to execute all such
documents and do all things that are necessary to implement the
corporate reorganization of the NSE referred to in Resolution 11 (b)
above.",,
12.,"To consider and, if thought fit, to pass the following Special Resolutions:
(a) THAT subject to obtaining all regulatory approvals for the Nairobi
Securities Exchange Limited to operate the exchange business, a new
set of Articles of Association of the Company, be and is hereby approved
and adopted as the new Articles of Association of the NSE in place of the
existing Articles of Association.
(b) THAT subject to obtaining all regulatory approvals for the Nairobi
Securities Exchange Limited to operate the exchange business and
approval of the Registrar of Companies, the change of the name of the
NSE from ‘Nairobi Securities Exchange Plc’ to ‘NSE Group Plc’ be and
is hereby approved to take effect from the date of completion of the
corporate reorganization.",,
